Web Search interest: typer
Denmark 2010-2014

Interest over time
Week,typer
2011-10-02 - 2011-10-08,64
2011-10-09 - 2011-10-15,56
2011-10-16 - 2011-10-22,47
2011-10-23 - 2011-10-29,68
2011-10-30 - 2011-11-05,68
2011-11-06 - 2011-11-12,64
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,69
2011-11-27 - 2011-12-03,77
2011-12-04 - 2011-12-10,62
2011-12-11 - 2011-12-17,69
2011-12-18 - 2011-12-24,47
2011-12-25 - 2011-12-31,46
2012-01-01 - 2012-01-07,60
2012-01-08 - 2012-01-14,72
2012-01-15 - 2012-01-21,68
2012-01-22 - 2012-01-28,70
2012-01-29 - 2012-02-04,52
2012-02-05 - 2012-02-11,66
2012-02-12 - 2012-02-18,55
2012-02-19 - 2012-02-25,56
2012-02-26 - 2012-03-03,70
2012-03-04 - 2012-03-10,58
2012-03-11 - 2012-03-17,68
2012-03-18 - 2012-03-24,71
2012-03-25 - 2012-03-31,66
2012-04-01 - 2012-04-07,43
2012-04-08 - 2012-04-14,68
2012-04-15 - 2012-04-21,65
2012-04-22 - 2012-04-28,67
2012-04-29 - 2012-05-05,59
2012-05-06 - 2012-05-12,67
2012-05-13 - 2012-05-19,70
2012-05-20 - 2012-05-26,62
2012-05-27 - 2012-06-02,75
2012-06-03 - 2012-06-09,62
2012-06-10 - 2012-06-16,70
2012-06-17 - 2012-06-23,66
2012-06-24 - 2012-06-30,41
2012-07-01 - 2012-07-07,43
2012-07-08 - 2012-07-14,38
2012-07-15 - 2012-07-21,47
2012-07-22 - 2012-07-28,44
2012-07-29 - 2012-08-04,38
2012-08-05 - 2012-08-11,48
2012-08-12 - 2012-08-18,45
2012-08-19 - 2012-08-25,56
2012-08-26 - 2012-09-01,55
2012-09-02 - 2012-09-08,71
2012-09-09 - 2012-09-15,65
2012-09-16 - 2012-09-22,68
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,73
2012-10-07 - 2012-10-13,76
2012-10-14 - 2012-10-20,53
2012-10-21 - 2012-10-27,67
2012-10-28 - 2012-11-03,67
2012-11-04 - 2012-11-10,64
2012-11-11 - 2012-11-17,73
2012-11-18 - 2012-11-24,62
2012-11-25 - 2012-12-01,75
2012-12-02 - 2012-12-08,70
2012-12-09 - 2012-12-15,73
2012-12-16 - 2012-12-22,64
2012-12-23 - 2012-12-29,34
2012-12-30 - 2013-01-05,58
2013-01-06 - 2013-01-12,84
2013-01-13 - 2013-01-19,79
2013-01-20 - 2013-01-26,63
2013-01-27 - 2013-02-02,67
2013-02-03 - 2013-02-09,61
2013-02-10 - 2013-02-16,57
2013-02-17 - 2013-02-23,70
2013-02-24 - 2013-03-02,70
2013-03-03 - 2013-03-09,80
2013-03-10 - 2013-03-16,78
2013-03-17 - 2013-03-23,65
2013-03-24 - 2013-03-30,48
2013-03-31 - 2013-04-06,62
2013-04-07 - 2013-04-13,74
2013-04-14 - 2013-04-20,65
2013-04-21 - 2013-04-27,69
2013-04-28 - 2013-05-04,79
2013-05-05 - 2013-05-11,67
2013-05-12 - 2013-05-18,63
2013-05-19 - 2013-05-25,69
2013-05-26 - 2013-06-01,73
2013-06-02 - 2013-06-08,64
2013-06-09 - 2013-06-15,71
2013-06-16 - 2013-06-22,61
2013-06-23 - 2013-06-29,56
2013-06-30 - 2013-07-06,44
2013-07-07 - 2013-07-13,50
2013-07-14 - 2013-07-20,42
2013-07-21 - 2013-07-27,45
2013-07-28 - 2013-08-03,48
2013-08-04 - 2013-08-10,49
2013-08-11 - 2013-08-17,66
2013-08-18 - 2013-08-24,61
2013-08-25 - 2013-08-31,75
2013-09-01 - 2013-09-07,69
2013-09-08 - 2013-09-14,80
2013-09-15 - 2013-09-21,79
2013-09-22 - 2013-09-28,77
2013-09-29 - 2013-10-05,77
2013-10-06 - 2013-10-12,75
2013-10-13 - 2013-10-19,58
2013-10-20 - 2013-10-26,74
2013-10-27 - 2013-11-02,76
2013-11-03 - 2013-11-09,71
2013-11-10 - 2013-11-16,80
2013-11-17 - 2013-11-23,72
2013-11-24 - 2013-11-30,79
2013-12-01 - 2013-12-07,77
2013-12-08 - 2013-12-14,87
2013-12-15 - 2013-12-21,83
2013-12-22 - 2013-12-28,51
2013-12-29 - 2014-01-04,56
2014-01-05 - 2014-01-11,82
2014-01-12 - 2014-01-18,77
2014-01-19 - 2014-01-25,65
2014-01-26 - 2014-02-01,73
2014-02-02 - 2014-02-08,77
2014-02-09 - 2014-02-15,67
2014-02-16 - 2014-02-22,79
2014-02-23 - 2014-03-01,88
2014-03-02 - 2014-03-08,80
2014-03-09 - 2014-03-15,78
2014-03-16 - 2014-03-22,81
2014-03-23 - 2014-03-29,74
2014-03-30 - 2014-04-05,77
2014-04-06 - 2014-04-12,71
2014-04-13 - 2014-04-19,62
2014-04-20 - 2014-04-26,79
2014-04-27 - 2014-05-03,77
2014-05-04 - 2014-05-10,83
2014-05-11 - 2014-05-17,79
2014-05-18 - 2014-05-24,76
2014-05-25 - 2014-05-31,67
2014-06-01 - 2014-06-07,84
2014-06-08 - 2014-06-14,83
2014-06-15 - 2014-06-21,78
2014-06-22 - 2014-06-28,74
2014-06-29 - 2014-07-05,45
2014-07-06 - 2014-07-12,56
2014-07-13 - 2014-07-19,58
2014-07-20 - 2014-07-26,60
2014-07-27 - 2014-08-02,66
2014-08-03 - 2014-08-09,56
2014-08-10 - 2014-08-16,60
2014-08-17 - 2014-08-23,75
2014-08-24 - 2014-08-30,73
2014-08-31 - 2014-09-06,82
2014-09-07 - 2014-09-13,86
2014-09-14 - 2014-09-20,91
2014-09-21 - 2014-09-27,86
2014-09-28 - 2014-10-04,79
2014-10-05 - 2014-10-11,83
2014-10-12 - 2014-10-18,72
2014-10-19 - 2014-10-25,93
2014-10-26 - 2014-11-01,90
2014-11-02 - 2014-11-08,91
2014-11-09 - 2014-11-15,85
2014-11-16 - 2014-11-22,93
2014-11-23 - 2014-11-29,90
2014-11-30 - 2014-12-06,86
2014-12-07 - 2014-12-13,100
2014-12-14 - 2014-12-20,82
2014-12-21 - 2014-12-27,56
2014-12-28 - 2015-01-03,61


Top subregions for typer
Subregion,typer
Region Zealand,100
Syddanmark,99
Central Denmark Region,96
North Denmark Region,96
Capital Region of Denmark,88


Top cities for typer
City,typer
Slagelse Municipality,100
Hjorring,96
Naestved,95
Skive,90
Svendborg,88
Holstebro,87
Roskilde County,86
Fredericia,83
Sonderborg,82
Køge,82
Hillerod,80
Samsø,79
Esbjerg,78
Lyngby,78
Herning,77



Top searches for typer
auto typer,100






