Web Search interest: human
Denmark 2010-2014

Interest over time
Week,human
2011-10-30 - 2011-11-05,71
2011-11-06 - 2011-11-12,67
2011-11-13 - 2011-11-19,65
2011-11-20 - 2011-11-26,59
2011-11-27 - 2011-12-03,75
2011-12-04 - 2011-12-10,63
2011-12-11 - 2011-12-17,61
2011-12-18 - 2011-12-24,56
2011-12-25 - 2011-12-31,47
2012-01-01 - 2012-01-07,56
2012-01-08 - 2012-01-14,56
2012-01-15 - 2012-01-21,61
2012-01-22 - 2012-01-28,58
2012-01-29 - 2012-02-04,56
2012-02-05 - 2012-02-11,60
2012-02-12 - 2012-02-18,56
2012-02-19 - 2012-02-25,57
2012-02-26 - 2012-03-03,59
2012-03-04 - 2012-03-10,59
2012-03-11 - 2012-03-17,60
2012-03-18 - 2012-03-24,58
2012-03-25 - 2012-03-31,59
2012-04-01 - 2012-04-07,54
2012-04-08 - 2012-04-14,65
2012-04-15 - 2012-04-21,62
2012-04-22 - 2012-04-28,58
2012-04-29 - 2012-05-05,54
2012-05-06 - 2012-05-12,64
2012-05-13 - 2012-05-19,60
2012-05-20 - 2012-05-26,60
2012-05-27 - 2012-06-02,58
2012-06-03 - 2012-06-09,57
2012-06-10 - 2012-06-16,52
2012-06-17 - 2012-06-23,55
2012-06-24 - 2012-06-30,46
2012-07-01 - 2012-07-07,45
2012-07-08 - 2012-07-14,49
2012-07-15 - 2012-07-21,52
2012-07-22 - 2012-07-28,48
2012-07-29 - 2012-08-04,45
2012-08-05 - 2012-08-11,55
2012-08-12 - 2012-08-18,50
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,59
2012-09-02 - 2012-09-08,58
2012-09-09 - 2012-09-15,53
2012-09-16 - 2012-09-22,57
2012-09-23 - 2012-09-29,56
2012-09-30 - 2012-10-06,55
2012-10-07 - 2012-10-13,56
2012-10-14 - 2012-10-20,52
2012-10-21 - 2012-10-27,60
2012-10-28 - 2012-11-03,63
2012-11-04 - 2012-11-10,60
2012-11-11 - 2012-11-17,60
2012-11-18 - 2012-11-24,65
2012-11-25 - 2012-12-01,55
2012-12-02 - 2012-12-08,58
2012-12-09 - 2012-12-15,50
2012-12-16 - 2012-12-22,50
2012-12-23 - 2012-12-29,44
2012-12-30 - 2013-01-05,49
2013-01-06 - 2013-01-12,55
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,56
2013-01-27 - 2013-02-02,54
2013-02-03 - 2013-02-09,63
2013-02-10 - 2013-02-16,55
2013-02-17 - 2013-02-23,67
2013-02-24 - 2013-03-02,64
2013-03-03 - 2013-03-09,51
2013-03-10 - 2013-03-16,58
2013-03-17 - 2013-03-23,58
2013-03-24 - 2013-03-30,52
2013-03-31 - 2013-04-06,57
2013-04-07 - 2013-04-13,57
2013-04-14 - 2013-04-20,56
2013-04-21 - 2013-04-27,57
2013-04-28 - 2013-05-04,59
2013-05-05 - 2013-05-11,58
2013-05-12 - 2013-05-18,60
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,58
2013-06-02 - 2013-06-08,58
2013-06-09 - 2013-06-15,49
2013-06-16 - 2013-06-22,52
2013-06-23 - 2013-06-29,48
2013-06-30 - 2013-07-06,45
2013-07-07 - 2013-07-13,44
2013-07-14 - 2013-07-20,47
2013-07-21 - 2013-07-27,46
2013-07-28 - 2013-08-03,51
2013-08-04 - 2013-08-10,56
2013-08-11 - 2013-08-17,52
2013-08-18 - 2013-08-24,54
2013-08-25 - 2013-08-31,51
2013-09-01 - 2013-09-07,58
2013-09-08 - 2013-09-14,57
2013-09-15 - 2013-09-21,57
2013-09-22 - 2013-09-28,58
2013-09-29 - 2013-10-05,57
2013-10-06 - 2013-10-12,57
2013-10-13 - 2013-10-19,53
2013-10-20 - 2013-10-26,53
2013-10-27 - 2013-11-02,57
2013-11-03 - 2013-11-09,59
2013-11-10 - 2013-11-16,64
2013-11-17 - 2013-11-23,69
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,60
2013-12-08 - 2013-12-14,66
2013-12-15 - 2013-12-21,60
2013-12-22 - 2013-12-28,45
2013-12-29 - 2014-01-04,46
2014-01-05 - 2014-01-11,64
2014-01-12 - 2014-01-18,61
2014-01-19 - 2014-01-25,56
2014-01-26 - 2014-02-01,58
2014-02-02 - 2014-02-08,66
2014-02-09 - 2014-02-15,65
2014-02-16 - 2014-02-22,62
2014-02-23 - 2014-03-01,65
2014-03-02 - 2014-03-08,66
2014-03-09 - 2014-03-15,68
2014-03-16 - 2014-03-22,61
2014-03-23 - 2014-03-29,57
2014-03-30 - 2014-04-05,64
2014-04-06 - 2014-04-12,58
2014-04-13 - 2014-04-19,57
2014-04-20 - 2014-04-26,67
2014-04-27 - 2014-05-03,71
2014-05-04 - 2014-05-10,63
2014-05-11 - 2014-05-17,65
2014-05-18 - 2014-05-24,66
2014-05-25 - 2014-05-31,65
2014-06-01 - 2014-06-07,62
2014-06-08 - 2014-06-14,60
2014-06-15 - 2014-06-21,53
2014-06-22 - 2014-06-28,58
2014-06-29 - 2014-07-05,48
2014-07-06 - 2014-07-12,52
2014-07-13 - 2014-07-19,50
2014-07-20 - 2014-07-26,53
2014-07-27 - 2014-08-02,57
2014-08-03 - 2014-08-09,57
2014-08-10 - 2014-08-16,58
2014-08-17 - 2014-08-23,58
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,59
2014-09-07 - 2014-09-13,50
2014-09-14 - 2014-09-20,58
2014-09-21 - 2014-09-27,55
2014-09-28 - 2014-10-04,58
2014-10-05 - 2014-10-11,55
2014-10-12 - 2014-10-18,55
2014-10-19 - 2014-10-25,59
2014-10-26 - 2014-11-01,68
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,60
2014-11-16 - 2014-11-22,64
2014-11-23 - 2014-11-29,60
2014-11-30 - 2014-12-06,56
2014-12-07 - 2014-12-13,65
2014-12-14 - 2014-12-20,51
2014-12-21 - 2014-12-27,41
2014-12-28 - 2015-01-03,47


Top subregions for human
Subregion,human
Capital Region of Denmark,100
North Denmark Region,77
Central Denmark Region,75
Syddanmark,70
Region Zealand,67


Top cities for human
City,human
Bagsværd,100
Hellerup,47
Søborg,46
Horsholm,45
Gentofte,43
Lyngby,39
Samsø,36
Birkerød,36
Albertslund,34
Glostrup,34
Ballerup,33
Rodovre,33
Frederiksberg,31
Herlev,30
Copenhagen,30



Top searches for human
human rights,100
human centipede,75
centipede,70
the human centipede,40
human body,40
human resources,35
human revolution,35
human being,35
deus ex,35
human resource,30
human lyrics,25
human development,20
the human body,15
human centipede 2,15
human nature,15
human trafficking,15
almost human,15
human capital,15
human ernæring,15
human resource management,15
human anatomy,10
human rights declaration,10
human target,10
human rights watch,10
human brain,10
human barbie,10
human race,10
human evolution,10
un human rights,10
human league,10
human hair,10
are we human,10
human genome,10
human eye,5
human design,5
human heart,5
killers human,5
human development index,5
human care,5
menneskerettigheder,5
compass human resources,5
human traffic,5
compass group,5
the killers,5
human planet,5
the killers human,5
human stain,5
the human race,5
human house,5
human centipede 3,5



Rising searches for human
almost human,Breakout
centipede,Breakout
deus ex,Breakout
human centipede,Breakout
human centipede 2,Breakout
human revolution,Breakout
the human centipede,Breakout
human being,+350%
the human body,+80%
human body,+50%



