Web Search interest: pigerne
Denmark 2010-2014

Interest over time
Week,pigerne
2012-05-06 - 2012-05-12,48
2012-05-13 - 2012-05-19,38
2012-05-20 - 2012-05-26,43
2012-05-27 - 2012-06-02,40
2012-06-03 - 2012-06-09,40
2012-06-10 - 2012-06-16,37
2012-06-17 - 2012-06-23,40
2012-06-24 - 2012-06-30,42
2012-07-01 - 2012-07-07,51
2012-07-08 - 2012-07-14,45
2012-07-15 - 2012-07-21,49
2012-07-22 - 2012-07-28,39
2012-07-29 - 2012-08-04,46
2012-08-05 - 2012-08-11,49
2012-08-12 - 2012-08-18,46
2012-08-19 - 2012-08-25,44
2012-08-26 - 2012-09-01,49
2012-09-02 - 2012-09-08,43
2012-09-09 - 2012-09-15,35
2012-09-16 - 2012-09-22,39
2012-09-23 - 2012-09-29,37
2012-09-30 - 2012-10-06,40
2012-10-07 - 2012-10-13,38
2012-10-14 - 2012-10-20,32
2012-10-21 - 2012-10-27,34
2012-10-28 - 2012-11-03,28
2012-11-04 - 2012-11-10,29
2012-11-11 - 2012-11-17,31
2012-11-18 - 2012-11-24,34
2012-11-25 - 2012-12-01,34
2012-12-02 - 2012-12-08,34
2012-12-09 - 2012-12-15,31
2012-12-16 - 2012-12-22,33
2012-12-23 - 2012-12-29,32
2012-12-30 - 2013-01-05,43
2013-01-06 - 2013-01-12,34
2013-01-13 - 2013-01-19,35
2013-01-20 - 2013-01-26,26
2013-01-27 - 2013-02-02,35
2013-02-03 - 2013-02-09,39
2013-02-10 - 2013-02-16,42
2013-02-17 - 2013-02-23,36
2013-02-24 - 2013-03-02,37
2013-03-03 - 2013-03-09,32
2013-03-10 - 2013-03-16,33
2013-03-17 - 2013-03-23,31
2013-03-24 - 2013-03-30,30
2013-03-31 - 2013-04-06,40
2013-04-07 - 2013-04-13,31
2013-04-14 - 2013-04-20,28
2013-04-21 - 2013-04-27,31
2013-04-28 - 2013-05-04,35
2013-05-05 - 2013-05-11,37
2013-05-12 - 2013-05-18,32
2013-05-19 - 2013-05-25,35
2013-05-26 - 2013-06-01,36
2013-06-02 - 2013-06-08,36
2013-06-09 - 2013-06-15,32
2013-06-16 - 2013-06-22,25
2013-06-23 - 2013-06-29,32
2013-06-30 - 2013-07-06,27
2013-07-07 - 2013-07-13,27
2013-07-14 - 2013-07-20,29
2013-07-21 - 2013-07-27,38
2013-07-28 - 2013-08-03,39
2013-08-04 - 2013-08-10,39
2013-08-11 - 2013-08-17,29
2013-08-18 - 2013-08-24,30
2013-08-25 - 2013-08-31,32
2013-09-01 - 2013-09-07,36
2013-09-08 - 2013-09-14,32
2013-09-15 - 2013-09-21,30
2013-09-22 - 2013-09-28,27
2013-09-29 - 2013-10-05,31
2013-10-06 - 2013-10-12,26
2013-10-13 - 2013-10-19,27
2013-10-20 - 2013-10-26,30
2013-10-27 - 2013-11-02,29
2013-11-03 - 2013-11-09,32
2013-11-10 - 2013-11-16,31
2013-11-17 - 2013-11-23,27
2013-11-24 - 2013-11-30,29
2013-12-01 - 2013-12-07,31
2013-12-08 - 2013-12-14,33
2013-12-15 - 2013-12-21,32
2013-12-22 - 2013-12-28,39
2013-12-29 - 2014-01-04,37
2014-01-05 - 2014-01-11,41
2014-01-12 - 2014-01-18,40
2014-01-19 - 2014-01-25,44
2014-01-26 - 2014-02-01,39
2014-02-02 - 2014-02-08,37
2014-02-09 - 2014-02-15,32
2014-02-16 - 2014-02-22,39
2014-02-23 - 2014-03-01,32
2014-03-02 - 2014-03-08,38
2014-03-09 - 2014-03-15,33
2014-03-16 - 2014-03-22,41
2014-03-23 - 2014-03-29,34
2014-03-30 - 2014-04-05,41
2014-04-06 - 2014-04-12,38
2014-04-13 - 2014-04-19,36
2014-04-20 - 2014-04-26,38
2014-04-27 - 2014-05-03,35
2014-05-04 - 2014-05-10,38
2014-05-11 - 2014-05-17,35
2014-05-18 - 2014-05-24,30
2014-05-25 - 2014-05-31,35
2014-06-01 - 2014-06-07,30
2014-06-08 - 2014-06-14,33
2014-06-15 - 2014-06-21,30
2014-06-22 - 2014-06-28,32
2014-06-29 - 2014-07-05,31
2014-07-06 - 2014-07-12,40
2014-07-13 - 2014-07-19,27
2014-07-20 - 2014-07-26,31
2014-07-27 - 2014-08-02,52
2014-08-03 - 2014-08-09,37
2014-08-10 - 2014-08-16,35
2014-08-17 - 2014-08-23,30
2014-08-24 - 2014-08-30,38
2014-08-31 - 2014-09-06,27
2014-09-07 - 2014-09-13,27
2014-09-14 - 2014-09-20,25
2014-09-21 - 2014-09-27,27
2014-09-28 - 2014-10-04,31
2014-10-05 - 2014-10-11,30
2014-10-12 - 2014-10-18,29
2014-10-19 - 2014-10-25,33
2014-10-26 - 2014-11-01,29
2014-11-02 - 2014-11-08,27
2014-11-09 - 2014-11-15,28
2014-11-16 - 2014-11-22,28
2014-11-23 - 2014-11-29,30
2014-11-30 - 2014-12-06,29
2014-12-07 - 2014-12-13,25
2014-12-14 - 2014-12-20,28
2014-12-21 - 2014-12-27,31
2014-12-28 - 2015-01-03,27


Top subregions for pigerne
Subregion,pigerne
Region Zealand,100
Central Denmark Region,89
Syddanmark,79
North Denmark Region,74
Capital Region of Denmark,66


Top cities for pigerne
City,pigerne
Viborg,100
Skive,92
Silkeborg,89
Naestved,82
Slagelse Municipality,82
Herning,78
Kolding,64
Holbaek,62
Randers,61
Hvidovre,60
Odense,53
Aarhus,53
Roskilde County,53
Aalborg,47
Vejle County,47



Top searches for pigerne
side 9 pigerne,100
side 9,100
powerpuff,55
powerpuff pigerne,55
kolding pigerne kolding,25
vordingborg pigerne,20
haderup pigerne,20
århus pigerne,20
valhalla,20
odense pigerne,20
silkeborg pigerne,15
valhalla pigerne,15
cult,15
cult pigerne,15
aalborg pigerne,15
roskilde pigerne,15
pigerne fra småland,10



Rising searches for pigerne
haderup pigerne,Breakout
valhalla,Breakout
valhalla pigerne,Breakout
side 9,+1,050%
side 9 pigerne,+1,000%
powerpuff,+350%
powerpuff pigerne,+350%
kolding pigerne kolding,+200%
cult,+130%
cult pigerne,+110%



