Web Search interest: hpv
Denmark 2010-2014

Interest over time
Week,hpv
2011-12-11 - 2011-12-17,13
2011-12-18 - 2011-12-24,12
2011-12-25 - 2011-12-31,12
2012-01-01 - 2012-01-07,21
2012-01-08 - 2012-01-14,12
2012-01-15 - 2012-01-21,13
2012-01-22 - 2012-01-28,12
2012-01-29 - 2012-02-04,12
2012-02-05 - 2012-02-11,12
2012-02-12 - 2012-02-18,17
2012-02-19 - 2012-02-25,11
2012-02-26 - 2012-03-03,14
2012-03-04 - 2012-03-10,11
2012-03-11 - 2012-03-17,13
2012-03-18 - 2012-03-24,10
2012-03-25 - 2012-03-31,16
2012-04-01 - 2012-04-07,22
2012-04-08 - 2012-04-14,14
2012-04-15 - 2012-04-21,12
2012-04-22 - 2012-04-28,17
2012-04-29 - 2012-05-05,12
2012-05-06 - 2012-05-12,13
2012-05-13 - 2012-05-19,13
2012-05-20 - 2012-05-26,13
2012-05-27 - 2012-06-02,14
2012-06-03 - 2012-06-09,11
2012-06-10 - 2012-06-16,15
2012-06-17 - 2012-06-23,12
2012-06-24 - 2012-06-30,11
2012-07-01 - 2012-07-07,27
2012-07-08 - 2012-07-14,25
2012-07-15 - 2012-07-21,13
2012-07-22 - 2012-07-28,15
2012-07-29 - 2012-08-04,17
2012-08-05 - 2012-08-11,15
2012-08-12 - 2012-08-18,17
2012-08-19 - 2012-08-25,19
2012-08-26 - 2012-09-01,89
2012-09-02 - 2012-09-08,77
2012-09-09 - 2012-09-15,69
2012-09-16 - 2012-09-22,54
2012-09-23 - 2012-09-29,42
2012-09-30 - 2012-10-06,26
2012-10-07 - 2012-10-13,26
2012-10-14 - 2012-10-20,34
2012-10-21 - 2012-10-27,37
2012-10-28 - 2012-11-03,32
2012-11-04 - 2012-11-10,32
2012-11-11 - 2012-11-17,31
2012-11-18 - 2012-11-24,30
2012-11-25 - 2012-12-01,29
2012-12-02 - 2012-12-08,23
2012-12-09 - 2012-12-15,28
2012-12-16 - 2012-12-22,29
2012-12-23 - 2012-12-29,98
2012-12-30 - 2013-01-05,98
2013-01-06 - 2013-01-12,71
2013-01-13 - 2013-01-19,61
2013-01-20 - 2013-01-26,64
2013-01-27 - 2013-02-02,39
2013-02-03 - 2013-02-09,40
2013-02-10 - 2013-02-16,37
2013-02-17 - 2013-02-23,33
2013-02-24 - 2013-03-02,32
2013-03-03 - 2013-03-09,36
2013-03-10 - 2013-03-16,36
2013-03-17 - 2013-03-23,26
2013-03-24 - 2013-03-30,17
2013-03-31 - 2013-04-06,21
2013-04-07 - 2013-04-13,34
2013-04-14 - 2013-04-20,29
2013-04-21 - 2013-04-27,34
2013-04-28 - 2013-05-04,25
2013-05-05 - 2013-05-11,25
2013-05-12 - 2013-05-18,23
2013-05-19 - 2013-05-25,18
2013-05-26 - 2013-06-01,23
2013-06-02 - 2013-06-08,30
2013-06-09 - 2013-06-15,37
2013-06-16 - 2013-06-22,41
2013-06-23 - 2013-06-29,45
2013-06-30 - 2013-07-06,24
2013-07-07 - 2013-07-13,16
2013-07-14 - 2013-07-20,20
2013-07-21 - 2013-07-27,19
2013-07-28 - 2013-08-03,100
2013-08-04 - 2013-08-10,44
2013-08-11 - 2013-08-17,33
2013-08-18 - 2013-08-24,29
2013-08-25 - 2013-08-31,46
2013-09-01 - 2013-09-07,70
2013-09-08 - 2013-09-14,43
2013-09-15 - 2013-09-21,26
2013-09-22 - 2013-09-28,19
2013-09-29 - 2013-10-05,15
2013-10-06 - 2013-10-12,17
2013-10-13 - 2013-10-19,16
2013-10-20 - 2013-10-26,24
2013-10-27 - 2013-11-02,16
2013-11-03 - 2013-11-09,16
2013-11-10 - 2013-11-16,19
2013-11-17 - 2013-11-23,15
2013-11-24 - 2013-11-30,14
2013-12-01 - 2013-12-07,13
2013-12-08 - 2013-12-14,16
2013-12-15 - 2013-12-21,17
2013-12-22 - 2013-12-28,12
2013-12-29 - 2014-01-04,11
2014-01-05 - 2014-01-11,16
2014-01-12 - 2014-01-18,13
2014-01-19 - 2014-01-25,11
2014-01-26 - 2014-02-01,15
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,11
2014-02-16 - 2014-02-22,13
2014-02-23 - 2014-03-01,16
2014-03-02 - 2014-03-08,13
2014-03-09 - 2014-03-15,13
2014-03-16 - 2014-03-22,29
2014-03-23 - 2014-03-29,13
2014-03-30 - 2014-04-05,13
2014-04-06 - 2014-04-12,13
2014-04-13 - 2014-04-19,13
2014-04-20 - 2014-04-26,13
2014-04-27 - 2014-05-03,14
2014-05-04 - 2014-05-10,12
2014-05-11 - 2014-05-17,11
2014-05-18 - 2014-05-24,15
2014-05-25 - 2014-05-31,11
2014-06-01 - 2014-06-07,13
2014-06-08 - 2014-06-14,12
2014-06-15 - 2014-06-21,13
2014-06-22 - 2014-06-28,12
2014-06-29 - 2014-07-05,12
2014-07-06 - 2014-07-12,12
2014-07-13 - 2014-07-19,14
2014-07-20 - 2014-07-26,11
2014-07-27 - 2014-08-02,16
2014-08-03 - 2014-08-09,19
2014-08-10 - 2014-08-16,15
2014-08-17 - 2014-08-23,14
2014-08-24 - 2014-08-30,16
2014-08-31 - 2014-09-06,14
2014-09-07 - 2014-09-13,10
2014-09-14 - 2014-09-20,15
2014-09-21 - 2014-09-27,12
2014-09-28 - 2014-10-04,15
2014-10-05 - 2014-10-11,12
2014-10-12 - 2014-10-18,39
2014-10-19 - 2014-10-25,27
2014-10-26 - 2014-11-01,20
2014-11-02 - 2014-11-08,15
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,12
2014-11-30 - 2014-12-06,11
2014-12-07 - 2014-12-13,12
2014-12-14 - 2014-12-20,11
2014-12-21 - 2014-12-27,13
2014-12-28 - 2015-01-03,14


Top subregions for hpv
Subregion,hpv
Capital Region of Denmark,100
Central Denmark Region,90
North Denmark Region,85
Region Zealand,77
Syddanmark,74


Top cities for hpv
City,hpv
Hasselager,100
Frederiksberg,96
Aarhus,65
Hvidovre,60
Roskilde County,56
Vejle County,53
Copenhagen,52
Samsø,51
Aalborg,50
Randers,50
Odense,49
Lyngby,48
Kolding,41



Top searches for hpv
vaccine hpv,100
vaccine,100
hpv virus,20
hpv bivirkninger,15
bivirkninger,15
bivirkninger hpv vaccine,15
pris hpv vaccine,10
hpv mænd,10
vaccination,10
hpv vaccination,10
hpv vaccine mænd,5
livmoderhalskræft,5
vaccine livmoderhalskræft,5
kønsvorter hpv,5
kønsvorter,5
hpv drenge,5



Rising searches for hpv
bivirkninger,Breakout
bivirkninger hpv vaccine,Breakout
hpv bivirkninger,Breakout
hpv drenge,Breakout
hpv vaccine mænd,Breakout
kønsvorter,Breakout
kønsvorter hpv,Breakout
pris hpv vaccine,Breakout
vaccine livmoderhalskræft,Breakout
vaccine,+300%



