Web Search interest: mere
Denmark 2010-2014

Interest over time
Week,mere
2012-07-01 - 2012-07-07,48
2012-07-08 - 2012-07-14,44
2012-07-15 - 2012-07-21,45
2012-07-22 - 2012-07-28,45
2012-07-29 - 2012-08-04,44
2012-08-05 - 2012-08-11,42
2012-08-12 - 2012-08-18,43
2012-08-19 - 2012-08-25,51
2012-08-26 - 2012-09-01,54
2012-09-02 - 2012-09-08,54
2012-09-09 - 2012-09-15,55
2012-09-16 - 2012-09-22,60
2012-09-23 - 2012-09-29,62
2012-09-30 - 2012-10-06,59
2012-10-07 - 2012-10-13,64
2012-10-14 - 2012-10-20,55
2012-10-21 - 2012-10-27,60
2012-10-28 - 2012-11-03,62
2012-11-04 - 2012-11-10,62
2012-11-11 - 2012-11-17,67
2012-11-18 - 2012-11-24,69
2012-11-25 - 2012-12-01,62
2012-12-02 - 2012-12-08,65
2012-12-09 - 2012-12-15,71
2012-12-16 - 2012-12-22,63
2012-12-23 - 2012-12-29,61
2012-12-30 - 2013-01-05,63
2013-01-06 - 2013-01-12,67
2013-01-13 - 2013-01-19,57
2013-01-20 - 2013-01-26,60
2013-01-27 - 2013-02-02,62
2013-02-03 - 2013-02-09,68
2013-02-10 - 2013-02-16,53
2013-02-17 - 2013-02-23,54
2013-02-24 - 2013-03-02,58
2013-03-03 - 2013-03-09,61
2013-03-10 - 2013-03-16,61
2013-03-17 - 2013-03-23,67
2013-03-24 - 2013-03-30,60
2013-03-31 - 2013-04-06,54
2013-04-07 - 2013-04-13,60
2013-04-14 - 2013-04-20,53
2013-04-21 - 2013-04-27,52
2013-04-28 - 2013-05-04,54
2013-05-05 - 2013-05-11,55
2013-05-12 - 2013-05-18,53
2013-05-19 - 2013-05-25,55
2013-05-26 - 2013-06-01,56
2013-06-02 - 2013-06-08,51
2013-06-09 - 2013-06-15,51
2013-06-16 - 2013-06-22,53
2013-06-23 - 2013-06-29,83
2013-06-30 - 2013-07-06,100
2013-07-07 - 2013-07-13,69
2013-07-14 - 2013-07-20,62
2013-07-21 - 2013-07-27,55
2013-07-28 - 2013-08-03,54
2013-08-04 - 2013-08-10,55
2013-08-11 - 2013-08-17,51
2013-08-18 - 2013-08-24,52
2013-08-25 - 2013-08-31,57
2013-09-01 - 2013-09-07,52
2013-09-08 - 2013-09-14,53
2013-09-15 - 2013-09-21,60
2013-09-22 - 2013-09-28,55
2013-09-29 - 2013-10-05,56
2013-10-06 - 2013-10-12,66
2013-10-13 - 2013-10-19,54
2013-10-20 - 2013-10-26,55
2013-10-27 - 2013-11-02,58
2013-11-03 - 2013-11-09,63
2013-11-10 - 2013-11-16,66
2013-11-17 - 2013-11-23,61
2013-11-24 - 2013-11-30,60
2013-12-01 - 2013-12-07,56
2013-12-08 - 2013-12-14,62
2013-12-15 - 2013-12-21,62
2013-12-22 - 2013-12-28,55
2013-12-29 - 2014-01-04,58
2014-01-05 - 2014-01-11,62
2014-01-12 - 2014-01-18,72
2014-01-19 - 2014-01-25,63
2014-01-26 - 2014-02-01,59
2014-02-02 - 2014-02-08,62
2014-02-09 - 2014-02-15,57
2014-02-16 - 2014-02-22,59
2014-02-23 - 2014-03-01,59
2014-03-02 - 2014-03-08,57
2014-03-09 - 2014-03-15,59
2014-03-16 - 2014-03-22,56
2014-03-23 - 2014-03-29,59
2014-03-30 - 2014-04-05,57
2014-04-06 - 2014-04-12,53
2014-04-13 - 2014-04-19,56
2014-04-20 - 2014-04-26,55
2014-04-27 - 2014-05-03,56
2014-05-04 - 2014-05-10,65
2014-05-11 - 2014-05-17,55
2014-05-18 - 2014-05-24,70
2014-05-25 - 2014-05-31,63
2014-06-01 - 2014-06-07,62
2014-06-08 - 2014-06-14,56
2014-06-15 - 2014-06-21,58
2014-06-22 - 2014-06-28,52
2014-06-29 - 2014-07-05,47
2014-07-06 - 2014-07-12,48
2014-07-13 - 2014-07-19,41
2014-07-20 - 2014-07-26,50
2014-07-27 - 2014-08-02,47
2014-08-03 - 2014-08-09,53
2014-08-10 - 2014-08-16,54
2014-08-17 - 2014-08-23,55
2014-08-24 - 2014-08-30,57
2014-08-31 - 2014-09-06,52
2014-09-07 - 2014-09-13,59
2014-09-14 - 2014-09-20,60
2014-09-21 - 2014-09-27,60
2014-09-28 - 2014-10-04,63
2014-10-05 - 2014-10-11,63
2014-10-12 - 2014-10-18,61
2014-10-19 - 2014-10-25,57
2014-10-26 - 2014-11-01,64
2014-11-02 - 2014-11-08,62
2014-11-09 - 2014-11-15,64
2014-11-16 - 2014-11-22,63
2014-11-23 - 2014-11-29,63
2014-11-30 - 2014-12-06,64
2014-12-07 - 2014-12-13,62
2014-12-14 - 2014-12-20,66
2014-12-21 - 2014-12-27,54
2014-12-28 - 2015-01-03,54


Top subregions for mere
Subregion,mere
Region Zealand,100
North Denmark Region,97
Syddanmark,96
Capital Region of Denmark,91
Central Denmark Region,91


Top cities for mere
City,mere
Varde,100
Kalundborg,61
Thisted,52
Skanderborg,47
Frederikshavn,47
Rodovre,47
Nykobing Falster,46
Slagelse Municipality,43
Hjorring,43
Fanø,42
Haderslev,42
Juelsminde,41
Hellerup,41
Holstebro,39
Helsingor,38



Top searches for mere
mere end,100
med mere,85
mad med mere,35
kan ikke mere,20
meget mere,20
ikke mere tid,20
lidt mere,20
mere energi,10
gider ikke mere,5
shaka loveless,5
læs mere,5
la mere,5
elsker hende mere,5
med mere forkortelse,5
endnu mere,5
mad og mere,5
mere spansk,5
mere mobil,5
musik med mere,0
mere popcorn,0



Rising searches for mere
ikke mere tid,Breakout
med mere forkortelse,Breakout
shaka loveless,Breakout
kan ikke mere,+90%
gider ikke mere,+70%
mere energi,+50%
meget mere,+40%
mere end,+40%



