Web Search interest: ved
Denmark 2010-2014

Interest over time
Week,ved
2012-05-27 - 2012-06-02,72
2012-06-03 - 2012-06-09,73
2012-06-10 - 2012-06-16,78
2012-06-17 - 2012-06-23,82
2012-06-24 - 2012-06-30,73
2012-07-01 - 2012-07-07,73
2012-07-08 - 2012-07-14,75
2012-07-15 - 2012-07-21,74
2012-07-22 - 2012-07-28,79
2012-07-29 - 2012-08-04,75
2012-08-05 - 2012-08-11,72
2012-08-12 - 2012-08-18,75
2012-08-19 - 2012-08-25,74
2012-08-26 - 2012-09-01,75
2012-09-02 - 2012-09-08,75
2012-09-09 - 2012-09-15,72
2012-09-16 - 2012-09-22,74
2012-09-23 - 2012-09-29,76
2012-09-30 - 2012-10-06,74
2012-10-07 - 2012-10-13,72
2012-10-14 - 2012-10-20,66
2012-10-21 - 2012-10-27,73
2012-10-28 - 2012-11-03,71
2012-11-04 - 2012-11-10,71
2012-11-11 - 2012-11-17,70
2012-11-18 - 2012-11-24,75
2012-11-25 - 2012-12-01,69
2012-12-02 - 2012-12-08,67
2012-12-09 - 2012-12-15,65
2012-12-16 - 2012-12-22,65
2012-12-23 - 2012-12-29,55
2012-12-30 - 2013-01-05,69
2013-01-06 - 2013-01-12,76
2013-01-13 - 2013-01-19,75
2013-01-20 - 2013-01-26,75
2013-01-27 - 2013-02-02,74
2013-02-03 - 2013-02-09,76
2013-02-10 - 2013-02-16,72
2013-02-17 - 2013-02-23,77
2013-02-24 - 2013-03-02,78
2013-03-03 - 2013-03-09,78
2013-03-10 - 2013-03-16,77
2013-03-17 - 2013-03-23,75
2013-03-24 - 2013-03-30,69
2013-03-31 - 2013-04-06,73
2013-04-07 - 2013-04-13,77
2013-04-14 - 2013-04-20,72
2013-04-21 - 2013-04-27,76
2013-04-28 - 2013-05-04,79
2013-05-05 - 2013-05-11,80
2013-05-12 - 2013-05-18,81
2013-05-19 - 2013-05-25,80
2013-05-26 - 2013-06-01,80
2013-06-02 - 2013-06-08,82
2013-06-09 - 2013-06-15,85
2013-06-16 - 2013-06-22,83
2013-06-23 - 2013-06-29,83
2013-06-30 - 2013-07-06,79
2013-07-07 - 2013-07-13,85
2013-07-14 - 2013-07-20,83
2013-07-21 - 2013-07-27,85
2013-07-28 - 2013-08-03,82
2013-08-04 - 2013-08-10,72
2013-08-11 - 2013-08-17,76
2013-08-18 - 2013-08-24,79
2013-08-25 - 2013-08-31,78
2013-09-01 - 2013-09-07,77
2013-09-08 - 2013-09-14,83
2013-09-15 - 2013-09-21,84
2013-09-22 - 2013-09-28,85
2013-09-29 - 2013-10-05,85
2013-10-06 - 2013-10-12,88
2013-10-13 - 2013-10-19,86
2013-10-20 - 2013-10-26,96
2013-10-27 - 2013-11-02,80
2013-11-03 - 2013-11-09,77
2013-11-10 - 2013-11-16,75
2013-11-17 - 2013-11-23,78
2013-11-24 - 2013-11-30,75
2013-12-01 - 2013-12-07,72
2013-12-08 - 2013-12-14,79
2013-12-15 - 2013-12-21,73
2013-12-22 - 2013-12-28,59
2013-12-29 - 2014-01-04,69
2014-01-05 - 2014-01-11,84
2014-01-12 - 2014-01-18,80
2014-01-19 - 2014-01-25,82
2014-01-26 - 2014-02-01,81
2014-02-02 - 2014-02-08,80
2014-02-09 - 2014-02-15,81
2014-02-16 - 2014-02-22,86
2014-02-23 - 2014-03-01,84
2014-03-02 - 2014-03-08,82
2014-03-09 - 2014-03-15,83
2014-03-16 - 2014-03-22,83
2014-03-23 - 2014-03-29,85
2014-03-30 - 2014-04-05,84
2014-04-06 - 2014-04-12,86
2014-04-13 - 2014-04-19,82
2014-04-20 - 2014-04-26,87
2014-04-27 - 2014-05-03,87
2014-05-04 - 2014-05-10,89
2014-05-11 - 2014-05-17,87
2014-05-18 - 2014-05-24,90
2014-05-25 - 2014-05-31,89
2014-06-01 - 2014-06-07,89
2014-06-08 - 2014-06-14,91
2014-06-15 - 2014-06-21,92
2014-06-22 - 2014-06-28,90
2014-06-29 - 2014-07-05,86
2014-07-06 - 2014-07-12,93
2014-07-13 - 2014-07-19,93
2014-07-20 - 2014-07-26,91
2014-07-27 - 2014-08-02,84
2014-08-03 - 2014-08-09,82
2014-08-10 - 2014-08-16,80
2014-08-17 - 2014-08-23,81
2014-08-24 - 2014-08-30,84
2014-08-31 - 2014-09-06,82
2014-09-07 - 2014-09-13,83
2014-09-14 - 2014-09-20,85
2014-09-21 - 2014-09-27,86
2014-09-28 - 2014-10-04,85
2014-10-05 - 2014-10-11,87
2014-10-12 - 2014-10-18,80
2014-10-19 - 2014-10-25,92
2014-10-26 - 2014-11-01,97
2014-11-02 - 2014-11-08,96
2014-11-09 - 2014-11-15,97
2014-11-16 - 2014-11-22,98
2014-11-23 - 2014-11-29,100
2014-11-30 - 2014-12-06,81
2014-12-07 - 2014-12-13,82
2014-12-14 - 2014-12-20,81
2014-12-21 - 2014-12-27,66
2014-12-28 - 2015-01-03,72


Top subregions for ved
Subregion,ved
Syddanmark,100
North Denmark Region,96
Central Denmark Region,96
Region Zealand,93
Capital Region of Denmark,91


Top cities for ved
City,ved
Haderslev,100
Middelfart,93
Frederikshavn,91
Thisted,89
Juelsminde,88
Hjorring,83
Skanderborg,83
Nykobing Falster,80
Ringsted,80
Helsingor,80
Skive,80
Holstebro,78
Aabenraa,78
Hasselager,77
Slagelse Municipality,75



Top searches for ved
bivirkninger,100
symptomer,55
su,45
ved stranden,40
skilsmisse,35
ved vejen,30
gardasøen,30
campingpladser,25
ved lejlighed,25
slaget ved dybbøl,25
skolen ved søerne,20
skolen ved sundet,15
tandlægerne ved søerne,15
ved verdens ende,15
skolen ved bulowsvej,10
herman bang,10
ved stranden 10,10
rør ved mig,10
blærebetændelse,5
rock ved åen,5
camping ved gardasøen,5
sommer ved søen,5
kalorieforbrænding,5
skolen ved gurrevej,5
vejret ved gardasøen,5
integration ved substitution,5
skolen ved stadion,5
hæmorider,5



Rising searches for ved
su,+250%



