Web Search interest: mindre
Denmark 2010-2014

Interest over time
Week,mindre
2013-07-21 - 2013-07-27,59
2013-07-28 - 2013-08-03,56
2013-08-04 - 2013-08-10,54
2013-08-11 - 2013-08-17,60
2013-08-18 - 2013-08-24,64
2013-08-25 - 2013-08-31,64
2013-09-01 - 2013-09-07,66
2013-09-08 - 2013-09-14,66
2013-09-15 - 2013-09-21,56
2013-09-22 - 2013-09-28,70
2013-09-29 - 2013-10-05,66
2013-10-06 - 2013-10-12,68
2013-10-13 - 2013-10-19,62
2013-10-20 - 2013-10-26,71
2013-10-27 - 2013-11-02,68
2013-11-03 - 2013-11-09,61
2013-11-10 - 2013-11-16,66
2013-11-17 - 2013-11-23,70
2013-11-24 - 2013-11-30,57
2013-12-01 - 2013-12-07,60
2013-12-08 - 2013-12-14,64
2013-12-15 - 2013-12-21,77
2013-12-22 - 2013-12-28,57
2013-12-29 - 2014-01-04,57
2014-01-05 - 2014-01-11,87
2014-01-12 - 2014-01-18,100
2014-01-19 - 2014-01-25,90
2014-01-26 - 2014-02-01,80
2014-02-02 - 2014-02-08,67
2014-02-09 - 2014-02-15,74
2014-02-16 - 2014-02-22,74
2014-02-23 - 2014-03-01,69
2014-03-02 - 2014-03-08,67
2014-03-09 - 2014-03-15,67
2014-03-16 - 2014-03-22,71
2014-03-23 - 2014-03-29,72
2014-03-30 - 2014-04-05,69
2014-04-06 - 2014-04-12,69
2014-04-13 - 2014-04-19,64
2014-04-20 - 2014-04-26,67
2014-04-27 - 2014-05-03,57
2014-05-04 - 2014-05-10,71
2014-05-11 - 2014-05-17,63
2014-05-18 - 2014-05-24,69
2014-05-25 - 2014-05-31,79
2014-06-01 - 2014-06-07,64
2014-06-08 - 2014-06-14,64
2014-06-15 - 2014-06-21,56
2014-06-22 - 2014-06-28,66
2014-06-29 - 2014-07-05,51
2014-07-06 - 2014-07-12,54
2014-07-13 - 2014-07-19,50
2014-07-20 - 2014-07-26,66
2014-07-27 - 2014-08-02,50
2014-08-03 - 2014-08-09,58
2014-08-10 - 2014-08-16,60
2014-08-17 - 2014-08-23,67
2014-08-24 - 2014-08-30,61
2014-08-31 - 2014-09-06,65
2014-09-07 - 2014-09-13,63
2014-09-14 - 2014-09-20,76
2014-09-21 - 2014-09-27,78
2014-09-28 - 2014-10-04,66
2014-10-05 - 2014-10-11,58
2014-10-12 - 2014-10-18,72
2014-10-19 - 2014-10-25,66
2014-10-26 - 2014-11-01,69
2014-11-02 - 2014-11-08,67
2014-11-09 - 2014-11-15,74
2014-11-16 - 2014-11-22,83
2014-11-23 - 2014-11-29,72
2014-11-30 - 2014-12-06,61
2014-12-07 - 2014-12-13,71
2014-12-14 - 2014-12-20,75
2014-12-21 - 2014-12-27,49
2014-12-28 - 2015-01-03,55


Top subregions for mindre
Subregion,mindre
North Denmark Region,100
Capital Region of Denmark,97
Central Denmark Region,96
Region Zealand,95
Syddanmark,94


Top cities for mindre
City,mindre
Skive,100
Holstebro,97
Hillerod,88
Holbaek,81
Samsø,81
Roskilde County,79
Herning,77
Vejle County,77
Randers,76
Sonderborg,74
Silkeborg,73
Hvidovre,73
Esbjerg,73
Odense,72
Naestved,72



Top searches for mindre
mindre end,100
med mindre,65
større mindre end,30
større end,30
ved mindre,20
øl mindre tøj,20
mindre end tegn,15
større end tegn,10
mindre lår,10
desto mindre,10
mere eller mindre,5



Rising searches for mindre
desto mindre,Breakout
mere eller mindre,Breakout
mindre lår,Breakout
større end tegn,Breakout
mindre end tegn,+150%
ved mindre,+130%
større end,+120%
med mindre,+110%
større mindre end,+110%
mindre end,+100%



