Web Search interest: to
Denmark 2010-2014

Interest over time
Week,to
2012-09-09 - 2012-09-15,83
2012-09-16 - 2012-09-22,83
2012-09-23 - 2012-09-29,83
2012-09-30 - 2012-10-06,81
2012-10-07 - 2012-10-13,80
2012-10-14 - 2012-10-20,82
2012-10-21 - 2012-10-27,80
2012-10-28 - 2012-11-03,79
2012-11-04 - 2012-11-10,78
2012-11-11 - 2012-11-17,79
2012-11-18 - 2012-11-24,81
2012-11-25 - 2012-12-01,81
2012-12-02 - 2012-12-08,79
2012-12-09 - 2012-12-15,78
2012-12-16 - 2012-12-22,78
2012-12-23 - 2012-12-29,84
2012-12-30 - 2013-01-05,80
2013-01-06 - 2013-01-12,82
2013-01-13 - 2013-01-19,82
2013-01-20 - 2013-01-26,81
2013-01-27 - 2013-02-02,82
2013-02-03 - 2013-02-09,83
2013-02-10 - 2013-02-16,86
2013-02-17 - 2013-02-23,84
2013-02-24 - 2013-03-02,80
2013-03-03 - 2013-03-09,81
2013-03-10 - 2013-03-16,82
2013-03-17 - 2013-03-23,81
2013-03-24 - 2013-03-30,82
2013-03-31 - 2013-04-06,82
2013-04-07 - 2013-04-13,83
2013-04-14 - 2013-04-20,83
2013-04-21 - 2013-04-27,84
2013-04-28 - 2013-05-04,81
2013-05-05 - 2013-05-11,84
2013-05-12 - 2013-05-18,82
2013-05-19 - 2013-05-25,83
2013-05-26 - 2013-06-01,84
2013-06-02 - 2013-06-08,86
2013-06-09 - 2013-06-15,85
2013-06-16 - 2013-06-22,84
2013-06-23 - 2013-06-29,84
2013-06-30 - 2013-07-06,85
2013-07-07 - 2013-07-13,90
2013-07-14 - 2013-07-20,90
2013-07-21 - 2013-07-27,90
2013-07-28 - 2013-08-03,86
2013-08-04 - 2013-08-10,86
2013-08-11 - 2013-08-17,83
2013-08-18 - 2013-08-24,86
2013-08-25 - 2013-08-31,86
2013-09-01 - 2013-09-07,85
2013-09-08 - 2013-09-14,86
2013-09-15 - 2013-09-21,89
2013-09-22 - 2013-09-28,89
2013-09-29 - 2013-10-05,89
2013-10-06 - 2013-10-12,88
2013-10-13 - 2013-10-19,90
2013-10-20 - 2013-10-26,88
2013-10-27 - 2013-11-02,85
2013-11-03 - 2013-11-09,87
2013-11-10 - 2013-11-16,87
2013-11-17 - 2013-11-23,85
2013-11-24 - 2013-11-30,86
2013-12-01 - 2013-12-07,85
2013-12-08 - 2013-12-14,87
2013-12-15 - 2013-12-21,86
2013-12-22 - 2013-12-28,93
2013-12-29 - 2014-01-04,90
2014-01-05 - 2014-01-11,90
2014-01-12 - 2014-01-18,90
2014-01-19 - 2014-01-25,90
2014-01-26 - 2014-02-01,89
2014-02-02 - 2014-02-08,92
2014-02-09 - 2014-02-15,93
2014-02-16 - 2014-02-22,94
2014-02-23 - 2014-03-01,92
2014-03-02 - 2014-03-08,90
2014-03-09 - 2014-03-15,89
2014-03-16 - 2014-03-22,91
2014-03-23 - 2014-03-29,90
2014-03-30 - 2014-04-05,88
2014-04-06 - 2014-04-12,89
2014-04-13 - 2014-04-19,93
2014-04-20 - 2014-04-26,90
2014-04-27 - 2014-05-03,89
2014-05-04 - 2014-05-10,91
2014-05-11 - 2014-05-17,93
2014-05-18 - 2014-05-24,95
2014-05-25 - 2014-05-31,94
2014-06-01 - 2014-06-07,94
2014-06-08 - 2014-06-14,93
2014-06-15 - 2014-06-21,92
2014-06-22 - 2014-06-28,91
2014-06-29 - 2014-07-05,93
2014-07-06 - 2014-07-12,96
2014-07-13 - 2014-07-19,97
2014-07-20 - 2014-07-26,100
2014-07-27 - 2014-08-02,96
2014-08-03 - 2014-08-09,94
2014-08-10 - 2014-08-16,90
2014-08-17 - 2014-08-23,91
2014-08-24 - 2014-08-30,92
2014-08-31 - 2014-09-06,95
2014-09-07 - 2014-09-13,96
2014-09-14 - 2014-09-20,98
2014-09-21 - 2014-09-27,98
2014-09-28 - 2014-10-04,96
2014-10-05 - 2014-10-11,96
2014-10-12 - 2014-10-18,99
2014-10-19 - 2014-10-25,95
2014-10-26 - 2014-11-01,95
2014-11-02 - 2014-11-08,94
2014-11-09 - 2014-11-15,97
2014-11-16 - 2014-11-22,99
2014-11-23 - 2014-11-29,96
2014-11-30 - 2014-12-06,94
2014-12-07 - 2014-12-13,93
2014-12-14 - 2014-12-20,92
2014-12-21 - 2014-12-27,100
2014-12-28 - 2015-01-03,98


Top subregions for to
Subregion,to
Capital Region of Denmark,100
Central Denmark Region,80
North Denmark Region,79
Syddanmark,76
Region Zealand,72


Top cities for to
City,to
Bagsværd,100
Kastrup,89
Hellerup,87
Horsholm,81
Gentofte,79
Birkerød,77
Lyngby,75
Brondby,72
Søborg,72
Samsø,68
Juelsminde,68
Ballerup,67
Glostrup,64
Fanø,64
Copenhagen,64



Top searches for to
how to,100
you,10
youtube,10
google,5
converter,5
youtube to mp3,5
minecraft,5
translate,5
dkk to usd,0
youtube converter,0
itunes,0
inches to cm,0
eur to dkk,0
java,0
steam,0
euro to dkk,0
ticket to heaven,0
maps,0
how to hack,0
lbs to kg,0
google translate,0
inch to cm,0
lol,0
pdf to word,0
face,0
celsius to fahrenheit,0
danish to english,0
feet to cm,0
instagram,0
pounds to kg,0
netflix,0
league of legends,0
lie to me,0
amazon,0
youtube downloader,0
vlc,0
miles to km,0
video to mp3,0
dollars to dkk,0
cheap flights,0
de eneste to,0
ebay,0
dropbox,0
learn to fly,0
currency converter,0
listen to youtube,0
alle for to,0
to på flugt,0
feet to meters,0



Rising searches for to
minecraft,Breakout
eur to dkk,+250%
youtube to mp3,+250%
euro to dkk,+170%
youtube converter,+150%
dkk to usd,+140%
youtube,+130%
lbs to kg,+120%
steam,+100%
google,+90%



