Web Search interest: januar
Denmark 2010-2014

Interest over time
Week,januar
2012-01-22 - 2012-01-28,44
2012-01-29 - 2012-02-04,22
2012-02-05 - 2012-02-11,9
2012-02-12 - 2012-02-18,7
2012-02-19 - 2012-02-25,6
2012-02-26 - 2012-03-03,5
2012-03-04 - 2012-03-10,4
2012-03-11 - 2012-03-17,4
2012-03-18 - 2012-03-24,4
2012-03-25 - 2012-03-31,4
2012-04-01 - 2012-04-07,3
2012-04-08 - 2012-04-14,4
2012-04-15 - 2012-04-21,4
2012-04-22 - 2012-04-28,4
2012-04-29 - 2012-05-05,3
2012-05-06 - 2012-05-12,4
2012-05-13 - 2012-05-19,3
2012-05-20 - 2012-05-26,3
2012-05-27 - 2012-06-02,3
2012-06-03 - 2012-06-09,4
2012-06-10 - 2012-06-16,2
2012-06-17 - 2012-06-23,3
2012-06-24 - 2012-06-30,3
2012-07-01 - 2012-07-07,3
2012-07-08 - 2012-07-14,4
2012-07-15 - 2012-07-21,4
2012-07-22 - 2012-07-28,3
2012-07-29 - 2012-08-04,4
2012-08-05 - 2012-08-11,3
2012-08-12 - 2012-08-18,5
2012-08-19 - 2012-08-25,6
2012-08-26 - 2012-09-01,5
2012-09-02 - 2012-09-08,5
2012-09-09 - 2012-09-15,6
2012-09-16 - 2012-09-22,7
2012-09-23 - 2012-09-29,7
2012-09-30 - 2012-10-06,7
2012-10-07 - 2012-10-13,9
2012-10-14 - 2012-10-20,7
2012-10-21 - 2012-10-27,9
2012-10-28 - 2012-11-03,10
2012-11-04 - 2012-11-10,12
2012-11-11 - 2012-11-17,12
2012-11-18 - 2012-11-24,13
2012-11-25 - 2012-12-01,14
2012-12-02 - 2012-12-08,16
2012-12-09 - 2012-12-15,17
2012-12-16 - 2012-12-22,23
2012-12-23 - 2012-12-29,45
2012-12-30 - 2013-01-05,86
2013-01-06 - 2013-01-12,60
2013-01-13 - 2013-01-19,56
2013-01-20 - 2013-01-26,47
2013-01-27 - 2013-02-02,30
2013-02-03 - 2013-02-09,10
2013-02-10 - 2013-02-16,7
2013-02-17 - 2013-02-23,7
2013-02-24 - 2013-03-02,5
2013-03-03 - 2013-03-09,5
2013-03-10 - 2013-03-16,5
2013-03-17 - 2013-03-23,4
2013-03-24 - 2013-03-30,5
2013-03-31 - 2013-04-06,4
2013-04-07 - 2013-04-13,4
2013-04-14 - 2013-04-20,3
2013-04-21 - 2013-04-27,4
2013-04-28 - 2013-05-04,3
2013-05-05 - 2013-05-11,3
2013-05-12 - 2013-05-18,4
2013-05-19 - 2013-05-25,3
2013-05-26 - 2013-06-01,3
2013-06-02 - 2013-06-08,3
2013-06-09 - 2013-06-15,3
2013-06-16 - 2013-06-22,4
2013-06-23 - 2013-06-29,3
2013-06-30 - 2013-07-06,3
2013-07-07 - 2013-07-13,3
2013-07-14 - 2013-07-20,4
2013-07-21 - 2013-07-27,4
2013-07-28 - 2013-08-03,4
2013-08-04 - 2013-08-10,4
2013-08-11 - 2013-08-17,5
2013-08-18 - 2013-08-24,5
2013-08-25 - 2013-08-31,5
2013-09-01 - 2013-09-07,6
2013-09-08 - 2013-09-14,6
2013-09-15 - 2013-09-21,8
2013-09-22 - 2013-09-28,7
2013-09-29 - 2013-10-05,7
2013-10-06 - 2013-10-12,8
2013-10-13 - 2013-10-19,7
2013-10-20 - 2013-10-26,10
2013-10-27 - 2013-11-02,11
2013-11-03 - 2013-11-09,11
2013-11-10 - 2013-11-16,12
2013-11-17 - 2013-11-23,13
2013-11-24 - 2013-11-30,16
2013-12-01 - 2013-12-07,15
2013-12-08 - 2013-12-14,19
2013-12-15 - 2013-12-21,23
2013-12-22 - 2013-12-28,48
2013-12-29 - 2014-01-04,93
2014-01-05 - 2014-01-11,66
2014-01-12 - 2014-01-18,56
2014-01-19 - 2014-01-25,49
2014-01-26 - 2014-02-01,37
2014-02-02 - 2014-02-08,13
2014-02-09 - 2014-02-15,8
2014-02-16 - 2014-02-22,6
2014-02-23 - 2014-03-01,4
2014-03-02 - 2014-03-08,4
2014-03-09 - 2014-03-15,4
2014-03-16 - 2014-03-22,4
2014-03-23 - 2014-03-29,4
2014-03-30 - 2014-04-05,4
2014-04-06 - 2014-04-12,3
2014-04-13 - 2014-04-19,3
2014-04-20 - 2014-04-26,3
2014-04-27 - 2014-05-03,4
2014-05-04 - 2014-05-10,4
2014-05-11 - 2014-05-17,4
2014-05-18 - 2014-05-24,3
2014-05-25 - 2014-05-31,4
2014-06-01 - 2014-06-07,4
2014-06-08 - 2014-06-14,4
2014-06-15 - 2014-06-21,4
2014-06-22 - 2014-06-28,4
2014-06-29 - 2014-07-05,3
2014-07-06 - 2014-07-12,4
2014-07-13 - 2014-07-19,4
2014-07-20 - 2014-07-26,4
2014-07-27 - 2014-08-02,4
2014-08-03 - 2014-08-09,5
2014-08-10 - 2014-08-16,5
2014-08-17 - 2014-08-23,4
2014-08-24 - 2014-08-30,5
2014-08-31 - 2014-09-06,5
2014-09-07 - 2014-09-13,7
2014-09-14 - 2014-09-20,6
2014-09-21 - 2014-09-27,7
2014-09-28 - 2014-10-04,7
2014-10-05 - 2014-10-11,8
2014-10-12 - 2014-10-18,9
2014-10-19 - 2014-10-25,12
2014-10-26 - 2014-11-01,10
2014-11-02 - 2014-11-08,12
2014-11-09 - 2014-11-15,15
2014-11-16 - 2014-11-22,15
2014-11-23 - 2014-11-29,15
2014-11-30 - 2014-12-06,18
2014-12-07 - 2014-12-13,19
2014-12-14 - 2014-12-20,24
2014-12-21 - 2014-12-27,42
2014-12-28 - 2015-01-03,100


Top subregions for januar
Subregion,januar
Capital Region of Denmark,100
Syddanmark,92
North Denmark Region,88
Central Denmark Region,87
Region Zealand,87


Top cities for januar
City,januar
Hellerup,100
Gentofte,99
Helsingor,91
Haderslev,91
Frederiksberg,90
Søborg,89
Viborg,87
Kolding,86
Hjorring,85
Glostrup,84
Aabenraa,84
Hillerod,83
Skive,82
Herlev,82
Køge,82



Top searches for januar
januar 2014,100
januar 2013,95
januar udsalg,65
januar rejser,50
1 januar,45
1. januar,45
januar 2015,30
januar februar,30
februar,30
rejser i januar,25
thailand januar,20
rejse januar,20
stjernetegn januar,15
januar tilbud,15
gran canaria januar,15
gran canaria,15
ferie januar,15
afbudsrejser januar,15
20 januar,10
30 januar,10
varmt i januar,10
januar udsalg 2013,10
27 januar,10
januar udsalg 2014,10
21 januar,10
rejse i januar,10
9 januar,10
vejret tenerife januar,10
vejret tenerife,5
23 januar,5
ferie i januar,5
fuerteventura,5
madeira,5
sharm el sheikh,5



Rising searches for januar
januar 2013,Breakout
januar 2014,Breakout
januar 2015,Breakout
thailand januar,+200%
rejser i januar,+130%
januar rejser,+110%
1 januar,+100%
januar udsalg,+60%
februar,+50%
januar februar,+50%



